clip	duration[ms]
common_voice_nb-NO_43527911.mp3	4428
common_voice_nb-NO_42682508.mp3	2880
common_voice_nb-NO_44024778.mp3	3420
common_voice_nb-NO_43543631.mp3	3888
common_voice_nb-NO_43552595.mp3	2160
common_voice_nb-NO_43552605.mp3	5760
common_voice_nb-NO_43493176.mp3	3096
common_voice_nb-NO_44035058.mp3	6912
common_voice_nb-NO_43531844.mp3	6876
common_voice_nb-NO_43531842.mp3	2520
common_voice_nb-NO_43534710.mp3	5904
common_voice_nb-NO_43538741.mp3	2880
common_voice_nb-NO_43493203.mp3	3096
common_voice_nb-NO_43552590.mp3	3636
common_voice_nb-NO_43534713.mp3	4212
common_voice_nb-NO_43531352.mp3	5616
common_voice_nb-NO_42829660.mp3	3816
common_voice_nb-NO_43527853.mp3	3924
common_voice_nb-NO_43462975.mp3	2628
common_voice_nb-NO_43531783.mp3	3276
common_voice_nb-NO_43543723.mp3	4536
common_voice_nb-NO_43531312.mp3	3168
common_voice_nb-NO_43537119.mp3	4680
common_voice_nb-NO_43493418.mp3	3060
common_voice_nb-NO_43531325.mp3	2916
common_voice_nb-NO_43552681.mp3	3708
common_voice_nb-NO_43543693.mp3	6516
common_voice_nb-NO_43534743.mp3	4356
common_voice_nb-NO_43534685.mp3	4356
common_voice_nb-NO_43493286.mp3	3780
common_voice_nb-NO_43552684.mp3	3960
common_voice_nb-NO_43635973.mp3	6876
common_voice_nb-NO_43635963.mp3	4428
common_voice_nb-NO_43534692.mp3	2160
common_voice_nb-NO_43538732.mp3	5652
common_voice_nb-NO_42605102.mp3	2340
common_voice_nb-NO_42559634.mp3	5148
common_voice_nb-NO_43541515.mp3	2628
common_voice_nb-NO_43543521.mp3	5076
common_voice_nb-NO_43552672.mp3	3348
common_voice_nb-NO_43493405.mp3	3528
common_voice_nb-NO_42609988.mp3	4176
common_voice_nb-NO_43644294.mp3	3096
common_voice_nb-NO_43534682.mp3	4572
common_voice_nb-NO_43552739.mp3	2448
common_voice_nb-NO_42575775.mp3	2808
common_voice_nb-NO_43552720.mp3	2376
common_voice_nb-NO_43493259.mp3	3096
common_voice_nb-NO_43552603.mp3	4896
common_voice_nb-NO_43541526.mp3	7236
common_voice_nb-NO_43527854.mp3	4932
common_voice_nb-NO_43646111.mp3	4284
common_voice_nb-NO_43552682.mp3	2448
common_voice_nb-NO_42609992.mp3	4716
common_voice_nb-NO_43552564.mp3	3276
common_voice_nb-NO_43527842.mp3	3312
common_voice_nb-NO_43531799.mp3	2988
common_voice_nb-NO_43645994.mp3	4248
common_voice_nb-NO_42610006.mp3	3168
common_voice_nb-NO_43543587.mp3	7596
common_voice_nb-NO_43531826.mp3	5040
common_voice_nb-NO_43543733.mp3	6156
common_voice_nb-NO_43552593.mp3	6048
common_voice_nb-NO_43493171.mp3	2988
common_voice_nb-NO_43529196.mp3	7416
common_voice_nb-NO_43493188.mp3	5688
common_voice_nb-NO_42613526.mp3	4788
common_voice_nb-NO_43531943.mp3	5076
common_voice_nb-NO_43933555.mp3	3420
common_voice_nb-NO_43427042.mp3	3780
common_voice_nb-NO_43493317.mp3	5616
common_voice_nb-NO_42829653.mp3	4788
common_voice_nb-NO_43543511.mp3	3780
common_voice_nb-NO_43534718.mp3	3564
common_voice_nb-NO_43543565.mp3	6120
common_voice_nb-NO_43493306.mp3	3348
common_voice_nb-NO_43643747.mp3	4860
common_voice_nb-NO_44024862.mp3	5220
common_voice_nb-NO_43543649.mp3	4968
common_voice_nb-NO_42613665.mp3	4788
common_voice_nb-NO_43531834.mp3	2556
common_voice_nb-NO_43194256.mp3	4572
common_voice_nb-NO_43537112.mp3	3780
common_voice_nb-NO_43644396.mp3	5832
common_voice_nb-NO_43527894.mp3	3564
common_voice_nb-NO_44032357.mp3	7380
common_voice_nb-NO_43527873.mp3	5184
