k,accuracy,f1_weighted,accuracy_smooth,f1_weighted_smooth
1,0.13144590495449948,0.10248556576333392,0.16245365689248398,0.13673690449557543
5,0.224469160768453,0.20523958196005848,0.20256150994270306,0.18053075779728053
10,0.2517694641051567,0.23386712566844922,0.2423323222109875,0.2253300024441794
15,0.25075834175935285,0.23688329970403046,0.25749915739804513,0.24019036762721446
20,0.2699696663296259,0.24982067750916373,0.2665992585102797,0.24886180201155875
25,0.27906976744186046,0.25988142882148213,0.2748567576676778,0.2561498195059584
30,0.27553083923154703,0.2587473521872294,0.28075497135153354,0.2620203494827976
35,0.28766430738119314,0.2674322674396815,0.28766430738119314,0.27113016891564606
40,0.29979777553083925,0.28721088712002735,0.2959218065385911,0.2806693240623426
45,0.30030333670374115,0.28736481762731897,0.3011459386585777,0.289307411584128
50,0.3033367037411527,0.29334653000503763,0.3065385911695315,0.2955514478276706
60,0.3159757330637007,0.3059429958506552,0.3134479271991911,0.302826652623
70,0.32103134479271994,0.30919043201330715,0.3211998651836872,0.3102522608666989
80,0.32659251769464104,0.3156233547361343,0.32457027300303337,0.3130821692072862
90,0.32608695652173914,0.3144327208724173,0.3289518031681833,0.317430761944252
100,0.33417593528816986,0.3222362102242045,0.33131108864172565,0.32010846207594845
110,0.33367037411526795,0.3236564551312236,0.33198517020559487,0.3210812616053328
120,0.3281092012133468,0.3173511194605704,0.3302999662959218,0.3199178041156875
130,0.32912032355915066,0.3187458377552686,0.3302999662959218,0.32033599228909826
140,0.33367037411526795,0.3249110196514558,0.33013144590495447,0.3208118943170184
150,0.3276036400404449,0.3187788255443309,0.33299629255139873,0.32437360511991686
160,0.33771486349848334,0.32943097016396383,0.33249073137849683,0.32369675217126254
170,0.3321536905965622,0.3228804608054929,0.3378833838894506,0.32935761421593834
180,0.3437815975733064,0.3357614116783584,0.33889450623525447,0.32967168576439854
190,0.34074823053589487,0.3303731848093444,0.34226491405460063,0.33211549913048977
200,0.34226491405460063,0.33021190090376656,0.34159083249073136,0.3304585007955412
210,0.3417593528816987,0.33079041667351267,0.34512976070104484,0.3343748490087938
220,0.35136501516683516,0.3421222294491021,0.3505224132119986,0.3400791914521209
230,0.3584428715874621,0.347324928233748,0.354566902595214,0.3441444500618422
240,0.3538928210313448,0.3429861925026766,0.35726322885069095,0.3467363121997101
250,0.35945399393326594,0.3498978158627057,0.3584428715874621,0.34842792798517774
260,0.3619817997977755,0.3523997755901509,0.3619817997977755,0.35211577537788286
270,0.36450960566228513,0.35404973468079215,0.3621503201887428,0.3527942063348741
280,0.35995955510616784,0.35193310873367945,0.3616447590158409,0.3521766408816538
290,0.36046511627906974,0.3505470792304897,0.3601280754971351,0.3509887860925578
300,0.35995955510616784,0.3504861703135042,0.3624873609706774,0.35346912903914124
320,0.36703741152679475,0.3593741375734298,0.36501516683518703,0.35615150653242567
360,0.36804853387259856,0.35859421171034317,0.36788001348163124,0.35859454193661444
401,0.3685540950455005,0.3578152765260705,0.37023929895517355,0.3607051954847772
442,0.3741152679474216,0.365706098217918,0.37360970677451966,0.3643503298841727
482,0.378159757330637,0.36952961490852965,0.3768115942028985,0.3679781554311522
523,0.378159757330637,0.36869875316700906,0.37815975733063695,0.36911222566299884
564,0.378159757330637,0.36910830891345775,0.3761375126390293,0.36677908273566867
605,0.37209302325581395,0.36253018612653926,0.3774856757667677,0.3680492148767509
645,0.3822042467138524,0.37250914959025583,0.3800134816312774,0.3707156132353109
686,0.3857431749241658,0.3771075039891375,0.3830468486686889,0.374196945250475
727,0.38119312436804853,0.3729741821720316,0.38237276710481966,0.37398629134832395
768,0.38018200202224467,0.37187718788380286,0.38051904280417925,0.3722428526465458
