feature,anova_f_score
mfcc40_d1_std,382.24362188146495
mfcc20_d1_std,360.93310500383444
mfcc13_d1_std,343.6868734777383
mfcc40_d1_c00_std,315.30948641031773
mfcc13_d1_c00_std,315.30948641031773
mfcc20_d1_c00_std,315.30948641031773
mfcc40_mfcc_mean,313.38995798924526
mfcc40_d2_std,302.3178710839729
mfcc20_d2_std,270.4945322675398
mfcc20_mfcc_mean,270.2770262922364
mfcc13_mfcc_mean,262.495547051042
mfcc13_mfcc_c02_std,261.7842242969595
mfcc40_mfcc_c02_std,261.7842242969595
mfcc20_mfcc_c02_std,261.7842242969595
mfcc13_mfcc_c00_min,253.7080819928614
mfcc13_mfcc_min,253.7080819928614
mfcc40_mfcc_min,253.7080819928614
mfcc20_mfcc_c00_min,253.7080819928614
mfcc20_mfcc_min,253.7080819928614
mfcc40_mfcc_c00_min,253.7080819928614
mfcc13_d2_std,251.10839273218474
mfcc20_mfcc_c00_std,248.28348521937778
mfcc13_mfcc_c00_std,248.28348521937778
mfcc40_mfcc_c00_std,248.28348521937778
mfcc13_d2_c00_std,234.22781628232823
mfcc40_d2_c00_std,234.22781628232823
mfcc20_d2_c00_std,234.22781628232823
mfcc13_mfcc_c04_std,232.3277764568089
mfcc20_mfcc_c04_std,232.3277764568089
mfcc40_mfcc_c04_std,232.3277764568089
mfcc13_d1_c02_std,229.77935434857386
mfcc20_d1_c02_std,229.77935434857386
mfcc40_d1_c02_std,229.77935434857386
mfcc13_mfcc_c01_mean,219.01731376320075
mfcc40_mfcc_c01_mean,219.01731376320075
mfcc20_mfcc_c01_mean,219.01731376320075
mfcc20_mfcc_c01_median,216.4906646614458
mfcc40_mfcc_c01_median,216.4906646614458
mfcc13_mfcc_c01_median,216.4906646614458
mfcc40_d2_c02_std,213.56222941989992
mfcc20_d2_c02_std,213.56222941989992
mfcc13_d2_c02_std,213.56222941989992
mfcc40_d1_c04_std,209.68306694545433
mfcc13_d1_c04_std,209.68306694545433
mfcc20_d1_c04_std,209.68306694545433
mfcc13_mfcc_c12_std,195.13510450402168
mfcc40_mfcc_c12_std,195.13510450402168
mfcc20_mfcc_c12_std,195.13510450402168
mfcc20_mfcc_c14_std,188.96125809067973
mfcc40_mfcc_c14_std,188.96125809067973
mfcc13_d1_c12_std,187.97903382015997
mfcc20_d1_c12_std,187.97903382015997
mfcc40_d1_c12_std,187.97903382015997
mfcc13_d2_c04_std,174.55787113806062
mfcc20_d2_c04_std,174.55787113806062
mfcc40_d2_c04_std,174.55787113806062
mfcc20_d1_c03_std,173.74111948317704
mfcc13_d1_c03_std,173.74111948317704
mfcc40_d1_c03_std,173.74111948317704
mfcc20_d1_c06_std,172.6594993823677
mfcc13_d1_c06_std,172.6594993823677
mfcc40_d1_c06_std,172.6594993823677
mfcc40_mfcc_c06_std,170.527997221164
mfcc20_mfcc_c06_std,170.527997221164
mfcc13_mfcc_c06_std,170.527997221164
mfcc20_d1_c14_std,169.60382322510605
mfcc40_d1_c14_std,169.60382322510605
mfcc13_d1_c00_max,168.0451110442396
mfcc20_d1_c00_max,168.0451110442396
mfcc40_d1_c00_max,168.0451110442396
mfcc20_d1_max,164.66370401156797
mfcc13_d1_max,164.66370401156797
mfcc40_d1_max,164.66370401156797
mfcc40_mfcc_c09_std,164.2682179476439
mfcc13_mfcc_c09_std,164.2682179476439
mfcc20_mfcc_c09_std,164.2682179476439
mfcc40_mfcc_c05_std,162.02306678295463
mfcc20_mfcc_c05_std,162.02306678295463
mfcc13_mfcc_c05_std,162.02306678295463
mfcc20_mfcc_c03_std,161.35513006485436
mfcc40_mfcc_c03_std,161.35513006485436
mfcc13_mfcc_c03_std,161.35513006485436
mfcc13_d2_c12_std,158.37016187705223
mfcc20_d2_c12_std,158.37016187705223
mfcc40_d2_c12_std,158.37016187705223
mfcc40_mfcc_c03_min,156.9988109039866
mfcc20_mfcc_c03_min,156.9988109039866
mfcc13_mfcc_c03_min,156.9988109039866
mfcc20_d2_c06_std,155.2229481171591
mfcc40_d2_c06_std,155.2229481171591
mfcc13_d2_c06_std,155.2229481171591
mfcc13_d1_c08_std,153.89970304932052
mfcc40_d1_c08_std,153.89970304932052
mfcc20_d1_c08_std,153.89970304932052
mfcc40_d2_c05_std,153.69438494543738
mfcc20_d2_c05_std,153.69438494543738
mfcc13_d2_c05_std,153.69438494543738
mfcc20_d2_c14_std,153.67251694000547
mfcc40_d2_c14_std,153.67251694000547
mfcc20_mfcc_c15_std,152.84020209243172
mfcc40_mfcc_c15_std,152.84020209243172
mfcc40_mfcc_c08_std,151.87252327901345
mfcc13_mfcc_c08_std,151.87252327901345
mfcc20_mfcc_c08_std,151.87252327901345
mfcc20_d1_c15_std,150.9647286572048
mfcc40_d1_c15_std,150.9647286572048
mfcc20_d1_c10_std,150.87333102525352
mfcc40_d1_c10_std,150.87333102525352
mfcc13_d1_c10_std,150.87333102525352
mfcc20_d1_c09_std,150.24821214662387
mfcc13_d1_c09_std,150.24821214662387
mfcc40_d1_c09_std,150.24821214662387
mfcc13_d1_c05_std,150.22287814186473
mfcc20_d1_c05_std,150.22287814186473
mfcc40_d1_c05_std,150.22287814186473
mfcc20_d2_c15_std,148.47794723047238
mfcc40_d2_c15_std,148.47794723047238
mfcc20_d2_c03_std,148.07906831336388
mfcc13_d2_c03_std,148.07906831336388
mfcc40_d2_c03_std,148.07906831336388
mfcc20_mfcc_c02_min,147.99449205624762
mfcc13_mfcc_c02_min,147.99449205624762
mfcc40_mfcc_c02_min,147.99449205624762
mfcc40_mfcc_c11_std,144.57170191398504
mfcc13_mfcc_c11_std,144.57170191398504
mfcc20_mfcc_c11_std,144.57170191398504
mfcc40_d2_c10_std,144.37886056243863
mfcc20_d2_c10_std,144.37886056243863
mfcc13_d2_c10_std,144.37886056243863
mfcc20_d1_c16_std,144.33741952976985
mfcc40_d1_c16_std,144.33741952976985
mfcc13_d2_c08_std,144.2319325062834
mfcc40_d2_c08_std,144.2319325062834
mfcc20_d2_c08_std,144.2319325062834
mfcc20_d2_c18_std,143.89911185380782
mfcc40_d2_c18_std,143.89911185380782
mfcc20_d1_c18_std,143.5719478087501
mfcc40_d1_c18_std,143.5719478087501
mfcc40_d1_c13_std,143.19951740477026
mfcc20_d1_c13_std,143.19951740477026
mfcc13_d1_c11_std,143.04888402540118
mfcc40_d1_c11_std,143.04888402540118
mfcc20_d1_c11_std,143.04888402540118
mfcc40_d2_c16_std,142.73539235571272
mfcc20_d2_c16_std,142.73539235571272
mfcc13_mfcc_c05_median,142.44951864604568
mfcc40_mfcc_c05_median,142.44951864604568
mfcc20_mfcc_c05_median,142.44951864604568
mfcc13_d2_c11_std,142.3268369817556
mfcc20_d2_c11_std,142.3268369817556
mfcc40_d2_c11_std,142.3268369817556
mfcc40_d1_c17_std,142.16539189527762
mfcc20_d1_c17_std,142.16539189527762
mfcc20_mfcc_c16_std,141.8829433058798
mfcc40_mfcc_c16_std,141.8829433058798
mfcc40_d2_c17_std,140.96962895001928
mfcc20_d2_c17_std,140.96962895001928
mfcc40_d2_c09_std,139.78076786054984
mfcc20_d2_c09_std,139.78076786054984
mfcc13_d2_c09_std,139.78076786054984
mfcc40_mfcc_c07_median,136.89663440681358
mfcc13_mfcc_c07_median,136.89663440681358
mfcc20_mfcc_c07_median,136.89663440681358
mfcc40_mfcc_c18_std,136.7455224645077
mfcc20_mfcc_c18_std,136.7455224645077
mfcc40_mfcc_c17_std,136.1936301100983
mfcc20_mfcc_c17_std,136.1936301100983
mfcc40_d2_c20_std,135.8664619532743
mfcc40_d2_c35_std,135.51418895539197
mfcc20_d2_c13_std,135.5135391145891
mfcc40_d2_c13_std,135.5135391145891
mfcc13_mfcc_c10_std,135.26192228778177
mfcc20_mfcc_c10_std,135.26192228778177
mfcc40_mfcc_c10_std,135.26192228778177
mfcc40_d2_c19_std,131.96015878584578
mfcc20_d2_c19_std,131.96015878584578
mfcc20_mfcc_c13_std,131.8769687069463
mfcc40_mfcc_c13_std,131.8769687069463
mfcc40_mfcc_c07_std,130.80023182743642
mfcc13_mfcc_c07_std,130.80023182743642
mfcc20_mfcc_c07_std,130.80023182743642
mfcc40_d2_c21_std,129.6050287138359
mfcc40_d2_c36_std,128.65475018752966
mfcc13_mfcc_c12_min,128.24556418731171
mfcc40_mfcc_c12_min,128.24556418731171
mfcc20_mfcc_c12_min,128.24556418731171
mfcc40_d1_c20_std,128.14723577991307
mfcc40_d1_c19_std,127.31793117153063
mfcc20_d1_c19_std,127.31793117153063
mfcc40_d2_c34_std,127.25049438872647
mfcc40_d2_c00_max,127.12209887051795
mfcc20_d2_c00_max,127.12209887051795
mfcc13_d2_c00_max,127.12209887051795
mfcc13_d1_c02_min,126.6853529334692
mfcc40_d1_c02_min,126.6853529334692
mfcc20_d1_c02_min,126.6853529334692
mfcc20_mfcc_c07_mean,126.61997371368662
mfcc40_mfcc_c07_mean,126.61997371368662
mfcc13_mfcc_c07_mean,126.61997371368662
mfcc13_mfcc_c05_mean,125.49940605388021
mfcc40_mfcc_c05_mean,125.49940605388021
mfcc20_mfcc_c05_mean,125.49940605388021
mfcc20_mfcc_c14_min,125.03613933578859
mfcc40_mfcc_c14_min,125.03613933578859
mfcc40_mfcc_c19_std,124.81290380331421
mfcc20_mfcc_c19_std,124.81290380331421
mfcc40_d2_c22_std,124.72509690806454
mfcc20_d1_c07_std,124.33831048668394
mfcc13_d1_c07_std,124.33831048668394
mfcc40_d1_c07_std,124.33831048668394
mfcc20_mfcc_c04_min,123.58629558237782
mfcc40_mfcc_c04_min,123.58629558237782
mfcc13_mfcc_c04_min,123.58629558237782
mfcc40_d2_c23_std,123.31013606233877
mfcc40_d2_c37_std,123.13981974497086
mfcc20_mfcc_c05_min,121.19873364441155
