feature,anova_f_score
mfcc40_d1_std,382.24361956730047
mfcc20_d1_std,360.9331055083411
mfcc13_d1_std,343.6868751187832
mfcc40_d1_c00_std,315.3094835494797
mfcc20_d1_c00_std,315.3094835494797
mfcc13_d1_c00_std,315.3094835494797
mfcc40_mfcc_c00_max,306.0442268776822
mfcc20_mfcc_c00_max,306.0442268776822
mfcc13_mfcc_c00_max,306.0442268776822
mfcc40_d2_std,302.31787511527415
mfcc20_d2_std,270.49452589427165
mfcc13_mfcc_c02_std,261.7842249762999
mfcc20_mfcc_c02_std,261.7842249762999
mfcc40_mfcc_c02_std,261.7842249762999
mfcc13_d2_std,251.10839212837485
mfcc13_mfcc_c00_std,248.28348412684338
mfcc20_mfcc_c00_std,248.28348412684338
mfcc40_mfcc_c00_std,248.28348412684338
mfcc13_mfcc_std,238.1083247551456
mfcc13_mfcc_c00_mean,237.63800261925635
mfcc20_mfcc_c00_mean,237.63800261925635
mfcc40_mfcc_c00_mean,237.63800261925635
mfcc20_mfcc_std,235.58063059135097
mfcc20_d2_c00_std,234.2278172450154
mfcc40_d2_c00_std,234.2278172450154
mfcc13_d2_c00_std,234.2278172450154
mfcc13_mfcc_c04_std,232.32777615034158
mfcc20_mfcc_c04_std,232.32777615034158
mfcc40_mfcc_c04_std,232.32777615034158
mfcc40_mfcc_std,232.2181951501993
mfcc20_mfcc_c00_median,231.8137603859043
mfcc40_mfcc_c00_median,231.8137603859043
mfcc13_mfcc_c00_median,231.8137603859043
mfcc40_d1_c02_std,229.77935577832622
mfcc20_d1_c02_std,229.77935577832622
mfcc13_d1_c02_std,229.77935577832622
mfcc13_mfcc_c01_mean,219.01730547753124
mfcc40_mfcc_c01_mean,219.01730547753124
mfcc20_mfcc_c01_mean,219.01730547753124
mfcc13_mfcc_c01_median,216.49066237961082
mfcc20_mfcc_c01_median,216.49066237961082
mfcc40_mfcc_c01_median,216.49066237961082
mfcc40_d2_c02_std,213.56222986667873
mfcc13_d2_c02_std,213.56222986667873
mfcc20_d2_c02_std,213.56222986667873
mfcc20_d1_c04_std,209.68306715553157
mfcc40_d1_c04_std,209.68306715553157
mfcc13_d1_c04_std,209.68306715553157
mfcc40_mfcc_c12_std,195.13510237904308
mfcc20_mfcc_c12_std,195.13510237904308
mfcc13_mfcc_c12_std,195.13510237904308
mfcc20_mfcc_c14_std,188.96125901649486
mfcc40_mfcc_c14_std,188.96125901649486
mfcc13_d1_c12_std,187.97902470659673
mfcc20_d1_c12_std,187.97902470659673
mfcc40_d1_c12_std,187.97902470659673
mfcc40_d2_c04_std,174.55787074257674
mfcc20_d2_c04_std,174.55787074257674
mfcc13_d2_c04_std,174.55787074257674
mfcc13_d1_c03_std,173.7411195773337
mfcc40_d1_c03_std,173.7411195773337
mfcc20_d1_c03_std,173.7411195773337
mfcc20_d1_c06_std,172.65949222767642
mfcc40_d1_c06_std,172.65949222767642
mfcc13_d1_c06_std,172.65949222767642
mfcc40_mfcc_c06_std,170.52799780552823
mfcc20_mfcc_c06_std,170.52799780552823
mfcc13_mfcc_c06_std,170.52799780552823
mfcc20_d1_c14_std,169.60382488861381
mfcc40_d1_c14_std,169.60382488861381
mfcc40_d1_c00_max,168.04511013644557
mfcc20_d1_c00_max,168.04511013644557
mfcc13_d1_c00_max,168.04511013644557
mfcc20_d1_max,164.66370253301847
mfcc13_d1_max,164.66370253301847
mfcc40_d1_max,164.66370253301847
mfcc40_mfcc_c09_std,164.26822151712688
mfcc13_mfcc_c09_std,164.26822151712688
mfcc20_mfcc_c09_std,164.26822151712688
mfcc40_mfcc_c05_std,162.02306461464394
mfcc20_mfcc_c05_std,162.02306461464394
mfcc13_mfcc_c05_std,162.02306461464394
mfcc20_mfcc_c03_std,161.35513090860672
mfcc40_mfcc_c03_std,161.35513090860672
mfcc13_mfcc_c03_std,161.35513090860672
mfcc13_d2_c12_std,158.3701494815668
mfcc20_d2_c12_std,158.3701494815668
mfcc40_d2_c12_std,158.3701494815668
mfcc40_mfcc_c03_min,156.99880914970697
mfcc20_mfcc_c03_min,156.99880914970697
mfcc13_mfcc_c03_min,156.99880914970697
mfcc20_d2_c06_std,155.2229424587442
mfcc40_d2_c06_std,155.2229424587442
mfcc13_d2_c06_std,155.2229424587442
mfcc13_d1_c08_std,153.89970429722652
mfcc40_d1_c08_std,153.89970429722652
mfcc20_d1_c08_std,153.89970429722652
mfcc40_d2_c05_std,153.69438445786108
mfcc20_d2_c05_std,153.69438445786108
mfcc13_d2_c05_std,153.69438445786108
mfcc20_d2_c14_std,153.6725159258354
mfcc40_d2_c14_std,153.6725159258354
mfcc20_mfcc_c15_std,152.84020263997834
mfcc40_mfcc_c15_std,152.84020263997834
mfcc40_mfcc_c08_std,151.87252350193867
mfcc13_mfcc_c08_std,151.87252350193867
mfcc20_mfcc_c08_std,151.87252350193867
mfcc20_d1_c15_std,150.964730304082
mfcc40_d1_c15_std,150.964730304082
mfcc20_d1_c10_std,150.8733330512607
mfcc40_d1_c10_std,150.8733330512607
mfcc13_d1_c10_std,150.8733330512607
mfcc20_d1_c09_std,150.24821226357395
mfcc13_d1_c09_std,150.24821226357395
mfcc40_d1_c09_std,150.24821226357395
mfcc13_d1_c05_std,150.22287776010035
mfcc20_d1_c05_std,150.22287776010035
mfcc40_d1_c05_std,150.22287776010035
mfcc20_d2_c15_std,148.47794845681113
mfcc40_d2_c15_std,148.47794845681113
mfcc20_d2_c03_std,148.07907400233088
mfcc13_d2_c03_std,148.07907400233088
mfcc40_d2_c03_std,148.07907400233088
mfcc20_mfcc_c02_min,147.99449626963755
mfcc13_mfcc_c02_min,147.99449626963755
mfcc40_mfcc_c02_min,147.99449626963755
mfcc40_mfcc_c11_std,144.57170465734254
mfcc13_mfcc_c11_std,144.57170465734254
mfcc20_mfcc_c11_std,144.57170465734254
mfcc40_d2_c10_std,144.37886332910873
mfcc20_d2_c10_std,144.37886332910873
mfcc13_d2_c10_std,144.37886332910873
mfcc20_d1_c16_std,144.33742184415186
mfcc40_d1_c16_std,144.33742184415186
mfcc13_d2_c08_std,144.23193205554048
mfcc40_d2_c08_std,144.23193205554048
mfcc20_d2_c08_std,144.23193205554048
mfcc20_d2_c18_std,143.89911283148479
mfcc40_d2_c18_std,143.89911283148479
mfcc20_d1_c18_std,143.57194881705507
mfcc40_d1_c18_std,143.57194881705507
mfcc40_d1_c13_std,143.19951588635857
mfcc20_d1_c13_std,143.19951588635857
mfcc20_d1_c11_std,143.04888113572736
mfcc13_d1_c11_std,143.04888113572736
mfcc40_d1_c11_std,143.04888113572736
mfcc20_d2_c16_std,142.73539432443982
mfcc40_d2_c16_std,142.73539432443982
mfcc13_mfcc_c05_median,142.44951272192222
mfcc20_mfcc_c05_median,142.44951272192222
mfcc40_mfcc_c05_median,142.44951272192222
mfcc20_d2_c11_std,142.32683905821486
mfcc13_d2_c11_std,142.32683905821486
mfcc40_d2_c11_std,142.32683905821486
mfcc20_d1_c17_std,142.16539185155273
mfcc40_d1_c17_std,142.16539185155273
mfcc40_mfcc_c16_std,141.88294384623265
mfcc20_mfcc_c16_std,141.88294384623265
mfcc40_d2_c17_std,140.96962592048848
mfcc20_d2_c17_std,140.96962592048848
mfcc20_d2_c09_std,139.78076796647787
