feature,anova_f_score
pitch_f0_hz_p90,14.805567858259083
pitch_f0_hz_mean,14.579455119358762
pitch_f0_hz_max,14.140859042708701
pitch_f0_hz_p10,13.007520690582478
pitch_f0_hz_min,12.351690712200332
pitch_f0_hz_median,10.367426583702901
pitch_f0_hz_std,6.5351600226524065
pitch_frames,4.716333906252194
duration_s,4.715375042467083
pitch_voicing_prob_mean,2.4676220866994103
pitch_raw_voiced_ratio,2.315132639395091
pitch_voiced_ratio,1.7871155578634625
pitch_voicing_prob_min,1.3121580415452225
pitch_voicing_prob_max,1.0618069047342578
