feature,anova_f_score
tfidf_01759,668.111479944675
tfidf_01168,668.111479944675
tfidf_07978,259.9769098344245
tfidf_03931,238.83897076771018
tfidf_01317,238.83897076771018
tfidf_02763,229.37865109943218
tfidf_07358,229.37865109943218
tfidf_02764,229.37865109943218
tfidf_04979,216.27673717470768
tfidf_03487,174.95563806706755
tfidf_06841,148.6699086223445
tfidf_05319,128.79263696728233
tfidf_06261,100.21301070848277
tfidf_02325,100.21301070848277
tfidf_06008,100.21301070848277
tfidf_08744,100.21301070848277
tfidf_07220,94.59920599885064
tfidf_00741,94.59920599885064
tfidf_04379,81.47947772501567
tfidf_03882,74.0873392332348
tfidf_03930,62.938544177041386
tfidf_04710,62.51066763818994
tfidf_06007,61.776931261601746
tfidf_02867,60.70636385091214
tfidf_07466,53.18278525421244
tfidf_02956,51.59112158535173
tfidf_02326,51.59112158535173
tfidf_02555,49.53537141420217
tfidf_02327,44.31891194098663
tfidf_03525,44.318911940986624
tfidf_08286,44.318911940986624
tfidf_05972,43.71268297001348
tfidf_05807,40.679741200685925
tfidf_08671,37.319780313812004
tfidf_02967,34.28813283295354
tfidf_06653,32.02963142737445
tfidf_03221,32.02963142737445
tfidf_08190,32.02963142737445
tfidf_02134,32.02963142737445
tfidf_02255,31.91236012807317
tfidf_01972,29.999513149512506
tfidf_04951,29.67990344862572
tfidf_03576,28.88825653484038
tfidf_00478,28.659159230980777
tfidf_01971,24.376434333843207
tfidf_02872,23.811146764559915
tfidf_07958,23.727112434385667
tfidf_03920,23.720229138226987
tfidf_04708,22.511231229359232
tfidf_02307,21.653548410367815
tfidf_06668,21.25763154490975
tfidf_05852,19.575853198393983
tfidf_09048,18.836806529389104
tfidf_05862,18.408302436409095
tfidf_01416,17.328688712837106
tfidf_04378,16.665437884823117
tfidf_08397,16.333398893321174
tfidf_08139,16.120150842168545
tfidf_09031,15.858002171635366
tfidf_02906,15.825441539453628
tfidf_08435,15.699999320548907
tfidf_07072,15.48074287048036
tfidf_08522,15.242670616078001
tfidf_08462,15.120759447895407
tfidf_05549,14.946237137899924
tfidf_03808,14.515356548156117
tfidf_02909,14.36360993796625
tfidf_07202,14.299348997481136
tfidf_08432,14.184829381021729
tfidf_02839,14.008927677327426
tfidf_08624,13.195179181468921
tfidf_07260,12.926652052726979
tfidf_08257,12.774437721073399
